Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Honduras,21300,20600,17800,18000,17800,15900,14600,13900,15500,17200,19500,13200,13600,12100,11300,11800,8100,11300,14700,15100,17100,12500,11800,13700,,,,,,,,,,,,,,,,,21574,18287,16760,26796,24216,24813,24315,9482,14832
Heavily indebted poor countries (HIPC),187100,186500,178200,180600,174400,200500,210200,188500,198400,206900,209300,207700,200600,198200,198600,192800,176500,178500,183300,180200,178500,174100,163700,149400,143800,137800,154100,159000,152500,145800,143612,137114,,,,,,,,,266822.2892,307977.7171,311610.2906,329263.772,346254.1529,345543,341547,383488,396844.4817
Croatia,,,,,,,,,,,,,,,,,,,,,,1900,4100,9200,12000,13300,15000,16700,16800,15900,16955,18258,19340,19751,20482,22031,21641,22391,24728,24613,24766,26743,26456,24305,25161,25183,26171,26809,27189
Haiti,3200,3200,3200,3400,700,700,700,700,700,700,700,800,800,800,800,800,800,800,800,800,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,6200,3200,3000,3800,4500,4000,4300,11800,13700,15500,15600,16100,16600,15700,17000,17200,17100,17300,16200,17500,18900,16600,19800,23100,20900,21600,24900,25700,27500,30200,32297,31654,33290,40233,46837,47362,45781,51003,49795,45861,111307,120826.2124,88801.83165,103080,123708,145492,137605,158454,183541
IBRD only,,,,,1339800,1412900,1494100,1511700,1533600,1670000,1726400,1754200,1886900,2042100,2160500,2166600,2227800,2310600,2357500,2377900,2433600,2428500,2602000,3655600,3729200,3828800,3943600,4029700,4005700,4169200,4143886,4646710,4556694,4487240,5080668,5400211,5888346,6484393,6637078,7014244,8613885.387,9277405.407,9809876.534,10517516.09,11341287.09,11960915,12674165,13399825.14,14182345.53
IDA & IBRD total,,,,,1633000,1758800,1870400,1860200,1901500,2057600,2146700,2175500,2292700,2453300,2613400,2625500,2679900,2770000,2838600,2855700,2909000,2899700,3071500,4074900,4200900,4267900,4394400,4539500,4528100,4649100,4634347,5121901,4965837,4891195,5519366,5846449,6352567,6990994,7102413,7497275,9337292.293,10080702.73,10601539.96,11372493.91,12224523.26,12861795,13594565,14403021.14,15257060.48
IDA total,294200,289400,273000,310200,293200,345900,376300,348500,367900,387600,420300,421300,405800,411200,452900,458900,452100,459400,481100,477800,475400,471200,469500,419300,471700,439100,450800,509800,522400,479900,490461,475191,409143,403955,438698,446238,464221,506601,465335,483031,723406.9065,803297.318,791663.4256,854977.8152,883236.1655,900880,920400,1003196,1074714.956
IDA blend,82100,73100,63500,85600,73100,107500,118700,120700,131100,140300,159200,153000,140200,147500,186300,198600,195700,199800,212400,216600,210600,213700,222800,184600,233700,206100,202800,282500,282800,265200,269492,263035,205455,198918,205688,215941,234718,241438,230988,228432,321072.3336,346816.6315,348324.2753,350284,328034.0144,360771,362114,360807,391166.0758
Indonesia,23500,24000,34200,42500,64800,74100,91600,105500,115300,120400,124800,142600,145300,143400,183000,185800,181500,190600,206100,193200,205400,215700,236900,227200,230500,262200,311200,194700,196700,135000,159027,164651,152278,155609,318488,320724,357414,357789,345240,330112,520932.082,599692.2761,641182.3007,576000,675005.8954,682389,823735,892801,959307.381
IDA only,212100,216300,209500,224600,220100,238400,257600,227800,236800,247300,261100,268300,265600,263700,266600,260300,256400,259600,268700,261200,264800,257500,246700,234700,238000,233000,248000,227300,239600,214700,220969,212156,203688,205037,233010,230297,229503,265163,,,402334.5729,456480.6866,443339.1503,504693.8152,555202.151,540109,558286,642389,683548.8803
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,97500,64700,96600,94300,69000,90600,94700,99000,105300,100100,100000,104600,106500,113500,120400,139900,151000,159500,157600,156300,125800,117500,120300,105300,130100,168400,151300,182500,196100,180500,198426,206690,231413,263870,302790,330484,453921,569033,592292,601977,623196.7786,695626,678125.9378,689094,724541.12,787998,917625,1029426,1200111.363
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,29000,27500,25200,25700,27500,25800,27100,27400,27700,31100,28400,27700,26600,26300,30800,32500,33500,36600,61400,73000,79500,82400,76700,69000,70300,84000,95000,107200,122700,132700,145457,156277,177032,231296,261345,303697,350204,416205,483741,528098,601262,635065,648817.6515,641412,658512,718059,836293,883323,935961
"Iran, Islamic Rep.",17100,18800,19300,22200,25100,32000,38300,41900,41100,23000,18600,11600,24900,30900,36900,27200,35200,34500,31000,36500,39900,41500,37700,41600,46500,48600,63300,83400,79600,75900,82610,141396,92621,138537,109706,121235,136075,137645,122226,133932,158014.1835,161191.6776,153142.8222,161029,162563.3742,133663,159754,225399.088,228803.6158
Iraq,5300,5800,6500,7300,7700,7300,8600,10100,10400,10400,8800,5500,6500,7400,6700,7900,8400,8400,12400,12600,7800,200,500,,300,,,,,,,,,,,,,,,,7692,9697,8993,4332,4332,12805,10579,18509.38,21071
Iceland,10700,11300,12500,13800,13800,14600,13200,14200,14500,14800,15000,15000,16400,15800,16200,18000,16700,18600,18400,17600,18300,17700,16900,17300,18700,19200,21600,21100,21700,14700,12589,11728,9989,9750,10832,11803,12785,14064,12431,12924,21668.31647,24488,26469,26643,28979,35558,41022,50389,54653.30259
Israel,9700,19800,20600,20000,19700,8400,9200,10100,19100,18900,18500,19200,18500,18500,21100,22500,22700,21800,27800,29600,29500,29900,39100,41900,44200,48000,50000,51400,50100,51600,56427,47648,49404,46334,34152,34104,36257,47038,45309,47856,47829,47195,47073.82746,46644,49177,49020,50548,50330,53901
Italy,183500,196300,204800,184900,185100,171700,171100,166900,159700,160700,162500,152800,158900,160700,161100,174700,172400,180100,189700,214200,229400,231500,261400,265300,268900,280000,306800,321400,338200,358900,367584,393484,350552,385911,382317,445968,447749,431647,382590,382897,335280,328771.58,306320.5033,258027,264899,273462,277671,243811,256596
Jamaica,18600,19500,21500,13700,16100,12600,23800,19800,20100,21100,20700,19500,20000,29200,26500,27700,21600,24000,23300,25200,21300,20900,20000,20000,18700,17000,18300,12300,12500,20600,16577,24440,23343,23976,23338,21787,21133,22401,22894,16840,0,0,0,492,953,997,1128,1181,1215.272
Jordan,4200,4400,4100,4500,5600,7000,8700,9300,10400,11900,14000,16500,17100,16200,15500,15200,14800,15000,15500,17400,14100,11000,14300,15500,16000,16800,17100,16700,15400,15900,16447,15893,16369,15354,17958,19689,26546,29415,30804,32490,39318.7916,40329.1978,39468,38998,38386,36622,38161,36946,36127
Japan,277300,395100,298700,311800,320700,312700,321200,345900,369600,388500,396500,416600,417500,414300,416100,417800,433300,441500,465400,468300,476000,495800,473000,474400,489300,535900,564000,573300,636500,661800,645087,640328,647953,639866,638430,651858,670252,656917,655495,641913,934487.4395,812928,874677,915542.658,927666,956015,984320,1035522,999594
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,5900,5900,20900,10300,10300,10400,9100,8041,8398,15426,19560,11754,17302,19160,19138,19229,18832,33483,40916,44580,66108,71220,72486,73188,83048,83287
Kenya,10500,10100,8900,9900,8000,12200,14500,6400,8600,8500,9300,9100,7400,8900,10100,11100,11800,12000,11700,12100,13000,11700,13200,13900,13200,13500,14400,19600,19800,25100,29080,24741,25873,27057,26218,28399,29039,32329,32045,33593,78265,84955,82576,98244,90625,96749,99428,117027,137602.1784
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,10400,10400,11600,13300,10400,15300,8300,6051,4942,3951,4810,5550,5228,4730,4916,3567,5459,7371,9274,7719,12189,17388,20962,23120,27055,16344.37197
Cambodia,1300,4400,3900,4100,3800,3400,3400,3400,,,,,,,,,,,,,,,,,,,,,,,,,4648,4512,3893,3207,3998,4324,3667,3304,5104.722222,7191,7432,11897.04324,14732,12983,11933,14372,14387
Kiribati,,,,,,,,,,,,6600,6600,6700,7100,4200,3400,3000,3000,3000,2900,2900,2900,2900,2900,3000,3100,3100,3200,,,,,,,,,,,,,,,,,,,5005,5005
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",16000,38100,39100,39700,33100,29400,27500,30300,34000,39800,37100,34900,38900,41700,47900,49100,53100,59100,69200,143600,120100,120100,141000,163500,170300,188900,207300,229300,207900,204000,226910,228442,238649,240942,232077,221424,223735,243113,250260,256160,280427,282239,285000,360356,368132,448037,473606,499093.92,526374
Kuwait,6700,6800,6800,7000,7600,8400,9700,11600,12500,12500,12900,13400,13300,14600,14700,14200,14300,14300,15000,15600,10000,7200,14300,16200,17200,17900,19400,17200,18700,17300,17486,16682,18929,17833,19512,19142,20673,17685,17999,18191,41848,31753,28814,27305,26610,30073,33387,42782,46450
Latin America & Caribbean (excluding high income),652100,620200,639600,659700,692100,716800,736900,719400,739900,828600,900200,863800,946100,1042400,1075300,1034300,1044300,1068300,1047300,1069600,1082300,1092600,1118600,1191200,1234700,1233100,1304300,1501000,1563900,1741300,1595381,1670230,1535101,1337310,1389699,1449389,1485029,1605768,1559862,1594887,2026245.937,2126443.146,2241049.071,2346603.415,2447432.272,2520562,2447141,2404814,2449950.992
Lao PDR,3100,2300,2400,2500,2400,2400,2400,1800,400,400,400,400,400,400,500,500,1500,2000,2000,2100,3400,3400,3700,3700,3700,3900,3900,3900,3900,6300,6411,6652,6971,7068,8413,9002,9959,9957,10007,9793,11374,12262,15836.12863,16944,12732,9772,9986,9731,10172.84292
Lebanon,20200,20800,21400,22700,23800,22400,23500,21400,22800,23000,22500,19400,15200,19000,13000,11100,8200,8500,11300,6800,10300,9300,10000,9400,9900,10900,9700,10300,10100,10100,10435,10317,10808,10819,11807,12013,11274,12172,12306,13532,19882,21306,21880,23568,23580,24066,24549,25550,25740
Liberia,,,,,1400,1400,1400,1500,1500,1700,1800,7100,7600,8000,6000,2800,2800,2800,2900,2900,2300,2200,2200,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,6200,6600,7400,8400,8800,9500,9800,11100,11100,11600,12200,13400,14900,16500,16700,16600,15400,14400,16400,17000,18200,19000,14400,9100,7100,5800,6100,6000,6000,6100,6194,5884,5884,6414,8042,13335,12657,13477,9930,9812,34878.07717,27770.50206,16514.43158,32064,26414,13298,10764,9686,7412.428754
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,712300,681000,695500,706800,743800,781500,804400,786700,801600,907000,983000,943200,1056500,1149700,1188600,1171500,1192600,1214500,1198200,1220900,1231900,1250000,1287400,1380200,1442900,1462700,1532800,1727100,1806500,1985500,1838871,1916893,1756505,1562182,1584616,1656212,1695244,1833458,1800913,1838212,2303571.688,2431147.824,2549816.184,2732986.415,2840587.997,2898758,2826420,2748629,2818642.415
Least developed countries: UN classification,168900,173200,167600,178100,170500,189900,211000,187300,193800,210100,225400,235300,232400,241500,233500,233200,228900,222300,224700,210200,209300,199600,193900,185500,195300,187500,198100,187400,185400,161600,170335,164604,156854,159470,180304,187173,188247,217552,185775,202446,351440.2344,394605.2789,391789.9299,448045.8152,457116.151,427560,441789,536718,594788.7548
Low income,126300,128300,115300,111800,112900,129900,147800,130900,135800,142400,150300,155900,147100,146300,149800,146900,148600,142400,146400,144200,141400,136800,132400,127200,138800,130100,138000,134600,125900,114200,126924,123141,,,,,,,,,242596.955,267365.3143,253006.7427,266342.772,260738.4913,238452,241220,313757,348210.3958
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,4400,5200,4400,2900,4200,4400,4000,5300,3100,1700,3800,4100,3500,5400,5900,6700,5800,5800,6100,6900,7900,8200,9100,8900,8900,8900,8800,8800,9300,10100,5206,11386,10480,12603,18699,19712,20979,21020,20512,16632,20921,26052,31373,32636.4,37517,37598,40711,41012,34425
Lower middle income,479000,400100,425900,461600,435500,500600,540900,558700,585500,608900,615200,640400,634200,671300,740100,774600,775300,809300,838700,825400,801600,798000,883300,811100,873700,939700,994400,943300,957000,872800,920178,924136,905020,948684,1190459,1241530,1427885,1567958,1600472,1619483,2256198.214,2498536.276,2556962.531,2549407.45,2801068.562,2950603,3327114,3476719,3791630.304
Low & middle income,,,,,1566000,1689300,1796300,1785200,1836100,1988000,2074400,2090100,2192800,2349100,2492700,2487500,2528200,2623100,2687700,2703600,2759800,2741900,2902900,3867900,3973100,4017400,4138700,4273300,4241400,4374800,4347577,4807360,4670464,4589595,5249402,5565485,6064829,6679122,6781812,7177831,8991357.564,9704006.52,10225223.62,10933513.91,11793032.87,12439576,13155537,13969187.14,14786705.18
Lesotho,,,,,900,900,1000,1000,3300,4900,3100,3100,4600,3000,3100,4700,4800,3900,2200,4600,4600,4600,1900,1100,2400,1800,1400,700,2100,200,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,,,,,672000,691200,713800,700700,706900,790300,823400,810300,900600,961300,1045600,1063300,1115500,1170500,1268600,1287600,1377800,1424700,1469600,2465000,2479800,2582100,2622800,2735700,2732000,2853000.001,2828120,3197261,3283798,3218826,3665061,3816401,4169909,4686224,4927058,5504592,6378364.18,6944807.875,7381815.761,7908184.583,8471671.027,9025937,9501394,10149322.67,10719225.9
Lithuania,,,,,,,,,,,,,,,,,,,,,,,4700,4800,6500,6600,6600,8100,9700,11100,10197,10418,9613,9839,11224,11930,11059,10823,12238,11633,4972.63491,7122,11874,9900,12622,12199,9719,12151,2375
Luxembourg,7100,9100,8200,7500,7900,8000,8200,8300,8600,8600,6000,6200,7300,6900,7500,7900,9200,10300,10400,10600,12300,13200,15200,15300,18900,7300,8200,23200,24600,29900,34007,38239,25102,40831,42447,42304,43777,47209,47639,51932,38716,38937,43021,44059,47215,48569,48255,48289,51824
Latvia,,,,,,,,,,,,,,,,,,,,,,,800,4700,5400,5200,10900,8200,9900,9100,9816,9508,9364,10360,16159,23112,29067,28182,28915,27123,54589,54241,46732,43836,42107,41376,42392,47885,54356
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11673,14161,15378,14355,21126,23572,25154,25016,19009,14258,13411,14368,15890,17859,20158,21472,23574,22924,24411
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,10100,12900,12800,16800,17200,19500,24500,25200,25000,24400,14800,17200,8700,17800,13700,11600,12200,12600,13600,14100,27100,18600,25800,37400,34500,32700,32000,35100,40100,43900,44542,44262,37160,35937,41526,48651,55239,68847,61298,62037,75306,69940.91248,61161.3007,68700,72345,75044,80085,86735,80154
Monaco,,,,,,,,,,,5800,5800,5800,5800,9400,9400,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12700,28900,31479,29905,14959,14024,12022,12249,14092,15170,13071,10351,10067,10603,11034.54545,10956,10928.727,10728,611,3,3
Moldova,,,,,,,,,,,,,,,,,,,,,,,,0,0,3400,3800,1600,3300,1100,3682,3866,3862,4333,4657,4392,4248,4654,4933,5047,6571,7147,6560,7500,8400,8739,9625,14116,13590
Madagascar,17600,17600,16200,16000,16500,16600,20500,23100,24300,23900,24500,21000,15100,15000,16500,16200,15600,15700,16100,15300,17200,14300,15300,16900,16200,17800,17200,16800,18300,18600,20491,20129,9433,17202,18016,17911,14142,37310,11861,9566,11714,12332.72727,13267,9451,10385,8852,7230,7650,10170
Maldives,,,,,,300,500,600,700,700,800,500,500,500,500,800,900,700,700,700,800,800,800,800,2600,4000,4100,3300,6000,4400,5970,3286,3417,3520,4224,4520,5108,5006,5006,4971,,,,,26849,31472,33006,33904,26789
Middle East & North Africa,157700,174900,184900,201500,232400,242100,284900,311300,341300,341700,353100,361800,357800,389900,394100,382900,389900,381200,406400,414200,415100,385000,441300,467800,491800,483000,519600,545200,535600,571700,613217,665244,621484,683657,701240,590992,648841,707006,680702,1003079,1267722.284,1292819.15,1353694.092,1427157.5,1501061.142,1561886,1691849,1780821.468,1788051.545
Mexico,56500,49600,64800,91200,101600,112100,115300,111900,115200,129300,177100,151800,144800,202300,200700,204600,187100,189000,141400,152200,177300,189300,228400,246600,272100,225100,222700,264100,292100,328300,290412,292208,278456,287017,330441,331225,317856,309633,266244,222356,445796.033,386063.9941,415279.823,435792.09,457921.907,508614,555984,567921,590727
Marshall Islands,,,,,,,,,,,,,,,,,,2500,2600,2800,3300,3300,5500,5500,8800,8300,4600,3900,3600,3700,2324,2744,3876,3911,3683,3083,3573,3508,3510,3480,,,,,,,,2218,2244
Middle income,,,,,1453100,1559400,1648500,1654300,1700300,1845600,1924100,1934200,2045700,2202800,2342900,2340600,2379600,2480700,2541300,2559400,2618400,2605100,2770500,3740700,3834300,3887300,4000700,4138700,4115500,4260600,4220653,4684219,4574366,4482684,5130588,5444254,5946284,6529928,6656834,7033101,8748760.609,9436641.205,9972216.88,10667171.14,11532294.38,12201124,12914317,13655430.14,14438494.79
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,3200,3400,3500,4900,3900,7600,6400,8047,4673,1964,2263,2398,2277,2368,2605,2813,1389,,,,,,,,,
Mali,3600,2800,2700,2600,2600,2600,2900,3100,3100,3700,3800,3600,3800,3600,3400,3100,1700,100,,,,,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,,,,,,,,,4656,5580,2753,360,0,,,,
Malta,2400,1900,1500,1700,2100,2400,2400,2500,3400,3600,4300,4600,4800,4400,4000,4000,4500,4700,5300,6000,6600,6800,7500,9500,11300,12800,13600,13400,12700,14100,15394,15056,14594,14390,14356,14768,15359,16895,17334,18362,16828,14891,13845,14257,14022,13639,12305,12799,20903
Myanmar,21700,22500,22900,23500,17900,17100,17200,17400,17400,18500,19400,19500,21500,22300,21700,22500,22500,22500,22600,13800,13800,13800,13800,13800,13800,14500,14500,14500,14700,11300,10329,9709,20624,20611,24729,26460,28700,29235,29514,28499,20485,32354,37798.82982,38028,49599,51652,65643,62480,64397.96449
Middle East & North Africa (excluding high income),105400,112300,121700,139000,154700,165800,191100,197100,203000,189400,185000,184200,187400,213000,210200,199700,211900,208800,220900,225700,223400,211300,218800,224500,233400,229500,249200,277600,271000,271700,296322,356337,297723,340925,333384,360734,391697,412178,382907,419054,556612.1772,530059.4339,511465.2853,556102.5,571311.1416,510478,556552,624693.468,625199.7981
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411,,4978,4974,5560,,,,,10064.00869,7707,7485,7164,6492,6864,6842,6436,6887
Mongolia,,,,,,,,,,,,,,,,,,,,,,9800,17900,10000,10000,10500,10500,4900,4900,2200,6200,5947,6264,7358,6702,5332,6169,6158,5592,4783,6528,7194.258441,9611.028261,4212,5705.56147,5219,6009,5277,7777
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,4600,8000,4300,5300,5500,6100,5400,5500,6200,4500,2500,2900,3300,4700,4900,5600,5100,4400,3700,3800,3200,3800,4600,5000,5900,6698,7257,7501,7662,8585,9768,10490,10791,10943,11260,13705,12957,13263.25147,19596,19763.59968,18924,15911,11955,10479
Mauritania,5600,4800,4600,4000,3900,4200,4400,4700,4700,4800,4900,4800,4900,4900,4000,4100,4400,4100,4200,4200,3600,4300,4200,4400,4400,4600,4800,4900,4900,3600,3761,2230,1510,1612,1686,1720,1725,1833,1159,1114,6373,4235,3077,3984,4044,4277,4307,5331,5636.839472
Mauritius,300,300,300,300,400,400,400,1300,1400,4200,5300,5000,5100,5400,6000,6400,6500,5800,5900,6400,8400,7700,7700,8000,8200,8900,9400,11000,11000,10700,12162,12269,12720,12969,14791,14743,13692,12090,11742,11144,11750,12353,12258,12079,12131,12646,13614,14842,14940
Malawi,3800,4400,4400,4300,4300,5000,3900,4900,4700,4200,3300,3500,4500,3700,6000,5700,4400,3000,1600,3500,3600,4000,3800,3300,3400,3500,3500,3600,3600,4400,4806,4708,4620,4940,5290,5446,5528,5888,4416,4376,3340.390123,3172,3201.166922,1644,1644,1687,1818,2327,2327
Malaysia,27700,31300,38600,63400,70700,72800,73700,71000,71900,75100,88600,97800,95800,95100,95100,94700,94100,101400,109400,111900,130500,145800,164800,164500,175000,178200,188300,194100,174000,164800,169263,169840,189382,166716,170054,176152,163665,185052,176549,182002,302185.2225,336401,343382,430334.4578,443318.55,463740,447001,473610.67,476733
North America,5404400,5291700,5276600,5407100,5022300,4939900,5043400,5143900,5206200,5399500,5344700,5011900,4916100,5136200,5549800,5905800,6449000,6731800,7009400,6892300,7195400,6881700,6836800,6671500,7503500,7965000,8337600,8253700,8142200,8831000,9784346,9517253,8302667,8825200,10554981,10988079,10781083,11004451,10254839,10380744,11329725.62,11303511.62,11144558.19,11008795.34,10846743,10820701,11000033,11082914,11354692.59
Namibia,,,,,,,,,,,,,,,,,,,,,,8100,9400,6300,6300,6800,7200,7400,7500,5500,5161,5131,5080,6034,6137,6455,6513,6942,5450,5439,8836,9400,11711,8568,9197,10606,11759,13876,14543
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,2900,2900,2600,2700,2700,2700,2900,2800,2900,2900,3100,3000,2500,2500,2400,1100,2300,2200,2300,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,,,,,,,,,0,0,1416,1044,407,469,471,471,
Nigeria,9400,11700,14500,16900,17200,19200,24900,30800,33500,35400,39100,37800,26700,28600,27700,37500,32600,30100,19700,15900,17400,14900,12500,11900,11200,6600,5600,6400,7500,8400,12761,10667,13154,8987,8254,10227,16045,16936,18005,16851,61789,68014.27634,65631.50707,59182,61512.45295,61474,53971,53696,77482.72652
Nicaragua,4400,4700,5000,10100,10100,10500,9800,5900,5900,5900,4200,3600,1800,1900,2200,2300,2000,2000,2000,3600,3900,3900,4200,600,700,800,800,800,800,500,452,,,,,,,,,,,,,,,,,,
Netherlands,84200,84800,85900,87500,88700,85100,85300,89100,93300,93100,93800,91700,97000,96000,94600,98700,102600,118100,121700,122200,115000,130500,173200,189800,176800,203100,206000,185700,188200,224400,229386,222539,250114,248246,254647,241084,250811,259827,262848,291713,268542.0058,293885.8398,307221,312910,304795,309089,334240,342097,325942.296
Norway,83600,96500,110700,120900,126900,137700,141700,149700,150000,167800,171100,158800,161100,169400,177100,190500,229900,233300,222600,221400,233500,228000,253700,249800,259200,266500,279500,301500,305100,334500,320753,306511,270045,248403,254045,,,,,,,,,,,,,,
Nepal,11800,11500,11400,12000,12000,11800,12200,12300,12900,16800,17600,17000,16900,16600,19500,20300,20300,16600,24000,25800,25800,23000,22300,21800,25900,27200,28400,28400,28600,12000,12130,12306,4324,4912,5846,6255,6920,6918,6952,6804,45990,44126,34745,30612,19560,19395,24063,58880,71908
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,342,399,116,96,612,707,862,842,842
New Zealand,83600,86600,90600,96900,103700,103400,98100,89100,90200,91500,87700,78000,75000,78600,90500,96200,93100,98700,111500,126500,128300,109200,122900,123600,125800,127600,187400,256800,236100,227500,240046,266139,242720,247388,196657,209469,220990,219243,220375,217178,207872,206937,203388,203520,189722,186209,181125,184762,187851
OECD members,7987400,8124100,8127700,8293600,7708100,7551400,7743700,8084700,8288900,8586600,8561300,8094200,8022600,8337500,8825700,9311200,10020000,10505800,11025900,11164100,11703100,11379700,11774700,11840500,12952800,13629300,14447400,14939500,15099400,16169000,17400838,17169865,15851103,16399251,18220294,18510973,18598081,19125683,18464089,18420521,20075557.24,20174904.3,20026995.45,19996492.39,19994370,20377310,20957925,21182683.92,21692568.37
Oman,,,,,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,9600,10200,10800,11400,12300,11400,14400,16200,18800,15700,17900,17500,16300,22200,22322,23213,23168,27751,31871,,,,,25542,32850,35560,39638,46816,47126,56544,61956,71293,76672
Other small states,,,,,,,,,,,,,,,,,,,108600,111900,120400,128300,126600,136200,148200,153600,158900,171600,177400,180500.001,,,,,,,,,,,304617.0264,319463.0779,358016.4423,356192,,427339,472428,,
Pakistan,44300,34000,23600,24300,26700,32000,37300,39900,43100,45000,45300,40600,41200,43800,45100,48200,52000,53800,60700,62500,66100,65700,69700,70300,69200,69400,70000,73300,68600,74400,63956,52616,41917,44731,50309,48905,51296,51029,52165,50939,64932,72695,72232,61820,57956,65749,70005,51019,48542
Panama,16000,16400,16700,11500,11500,9300,10900,11700,10600,11300,8700,6500,9700,6800,6800,6900,7000,7000,7200,6900,5400,5500,7500,9500,10700,16400,16600,17800,21700,21200,25225,24867,21883,25702,27434,30392,33003,40645,46292,66236,73316.7504,79391,82753,135428,132689.7248,137955,143126,112742,119148
Peru,16500,11800,15300,15300,28900,29300,30900,31200,30300,29900,32100,31700,32200,32400,29900,28800,32100,35600,33600,26000,22100,21500,21200,25000,30600,37300,35200,43200,44800,37300,29387,44487,37482,36947,46917,60819,56072,61958,67840,65885,84408.11532,100131,106167,115817.3964,117800,129786,129880,130792,141025.363
Philippines,95100,69000,65300,66900,62700,67800,70000,63400,58000,61700,48900,48300,51100,56800,57000,57700,62900,67400,71200,74200,70100,63200,65100,60800,61600,64000,64700,65500,61800,40300,44547,60511,57193,56235,56647,58944,61712,65212,72333,87028,205318,225789.6836,241698.559,200532,287460,325859,345482,273159,292450
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,18800,18900,18100,20400,20300,19200,19100,19400,18300,55400,53900,57300,64700,69500,71400,62400,56700,53200,24700,57800,26800,26800,29300,29600,27100,27512,29826,31147,17704,18712,19606,21935,21700,21751,21450,32741,36364.31978,37309.85769,30012,34068,51680,48892,53696,41545.17078
Poland,29500,29400,32100,35200,30800,36900,38200,41000,41500,42700,42700,34100,16400,25800,28800,28400,30700,30200,28900,31500,28600,19600,22400,27600,30500,32100,35900,38300,38400,43800,52371,71799,69842,73137,77690,78992,83451,89289,90031,83053,82630,82052,81194,83336,77094,68326,84075,106424,123903
Pre-demographic dividend,142500,144200,139200,140600,137800,171200,192600,182200,195900,211400,217900,216700,194700,205800,194500,194600,177600,172100,165000,151800,148400,131500,122600,122400,127000,114800,117300,121400,120000,128400,134784,121438,,,,,,,,,304105.7906,338788.5427,335276.1184,368447.772,355316.604,376858,353162,404599.38,449389.6075
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",7600,9100,,,,,,4900,4900,5500,5700,5600,5600,5400,5400,5500,5400,5500,5800,5800,5800,5800,6100,6100,6100,6400,6400,6900,1000,1300,1332,1305,1396,1354,1652,1768,1839,1949,1986,1865,725,732,890,3576,498.340249,483,522,460,460
Portugal,47600,53500,58100,65100,66400,32800,28200,29200,30800,31400,33500,34100,35100,35300,33900,31000,31700,34600,39500,40300,45000,47000,59900,63300,65900,71600,80500,94700,97600,117200,112462,96049,112324,117404,127025,148604,119668,138093,159135,123551,111961.4079,129004,131870,158096,157702,160003,154448,170444,182753
Paraguay,4400,4500,4100,4100,4100,4100,4200,5700,5800,5900,6300,5900,5900,6000,6400,6600,7300,7800,6400,6200,6100,7300,7400,13600,6800,900,10200,4200,4400,8000,7556,8173,8497,8557,9104,10059,9807,10351,10522,9758,6459,6873.73285,6594,6408,5496,4116,3864,3454,4215
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
